2022-09-22 15:52:44,271 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:44,287 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:44,288 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:52:47,598 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161646_0002_Z_航点2.JPG
2022-09-22 15:52:56,226 - maincontroller.py - line:68 - INFO| DJI_20220905161646_0002_Z_航点2.JPG下载成功
2022-09-22 15:52:56,232 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:52:56,237 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:52:56,252 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:56,259 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:56,265 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:56,271 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:56,277 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:56,284 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:56,292 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:56,298 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:56,299 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:52:58,860 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161634_0001_Z_航点1.JPG
2022-09-22 15:53:04,769 - maincontroller.py - line:68 - INFO| DJI_20220905161634_0001_Z_航点1.JPG下载成功
2022-09-22 15:53:04,775 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:53:04,781 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:53:04,796 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:53:04,803 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:53:04,809 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:53:04,816 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:53:04,822 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:53:04,828 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:53:04,834 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:53:04,840 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:53:04,847 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:53:04,853 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:53:04,854 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:02:58,411 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 16:02:58.411960]
2022-09-22 16:05:24,618 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 16:05:24.618103]
2022-09-22 16:06:17,016 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162320_0005_Z_航点5.JPG
